DMU;CountryYear;Country code;Country;Bank;ID;Foreign;Government;Bank code;Listed;Type;Islamic;year;ES;ES2;Cost2Inc;DepSTFund;Equity;Eq2Assets;FixAssets;GLoans;NPL2GL;LoanLP;Loans;NetFeeCom;NetIntRev;Branches;Employees;OthOpExp;OthOpInc;Overhead;PerExp;ROAA;ROAE;Assets;LnAssets;BusinessVol;EarnAssets;Funding;IntExp;NonIntExp;NonIntOpInc;OthEarnAssets;ExRate;Unit;GDPG;GDPC ;LnGDPC;GDPGC;PCDGDP;ICP;IGDPD;STMC;STMR;ETU;PAU;TRU;EXU;CSU;LDU;PCU;FSU;SQU;SCU;ETW;PAW;TRW;EXW;CSW;LDW;PCW;FSW;SQW;SCW;IIILargeAssets;VLargeAssets;HHIAssets  ;IIILargeLoans;VLargeLoans;HHILoans;IIILargeDeposits;VLargeDeposits;HHIDeposits;DomPrivOwnAssets;ForOwnAssets;GovOwnAssets;DomPrivOwnLoans;ForOwnLoans;GovOwnLoans;DomPrivOwnDeposits;ForOwnDeposits;GovOwnDeposits;BankCon;BankZsc;avelf;lat_abst;Legor;legor_uk;legor_fr;EFI;PP;CI;EconFree;PR;FC;FisF;GS;BF;LF;MF;TF;IF;FinF;LoanLossRatio;IndepYear;Indep;Religion;W-House;W-Senate
Standard Bank, SARL/2010;Mozambique/2010;25;Mozambique;Standard Bank, SARL;MozambiqueStandard Bank, SARL2010;1;0;149;0;CB;0;2010;0,259;0,132;0,591;792,813;84,726;0,090;26,343;334,875;0,008;0,518;333,356;15,106;44,888;;836;26,537;39,249;49,702;23,165;0,027;0,320;946,113;6,852;36436,30;816,393;804,362;14,811;49,702;39,249;483,037;33,96;1,00;0,068;393,72;5,976;0,044;0,233;0,127;0,100;;;1,625;4,167;8,543;6,667;5,000;5,313;0,000;0,000;2,500;3,757;1,458;4,464;8,929;6,667;5,000;5,625;0,000;0,000;1,429;3,730;0,80;0,91;2390,00;0,82;0,92;2740,00;0,82;0,92;2410,00;0,01;0,99;0,00;0,01;0,99;0,00;0,01;0,99;0,00;0,820;22,526;0,786;0,20;French;0;1;;3;0,14;56;30;26;77,6;76,1;58,7;42;74,9;74,5;50;50;0,002;1975;35;4;0,39;
Agricultural Bank of Namibia - Agribank/2008;Namibia/2008;26;Namibia;Agricultural Bank of Namibia - Agribank;NamibiaAgricultural Bank of Namibia - Agribank2008;0;1;150;0;CB;0;2008;0,308;0,308;0,463;30,020;103,108;0,662;5,956;152,738;;;132,305;0,000;11,572;;;1,332;0,775;5,713;4,382;0,044;0,067;155,873;5,049;1287,70;146,988;50,840;4,418;5,713;0,775;14,683;8,26;1,00;0,034;4017,32;8,298;0,014;0,441;0,104;0,137;0,070;0,038;2,563;4,444;9,238;3,333;2,500;8,438;0,000;0,000;3,750;3,807;2,708;4,643;9,405;1,667;3,611;6,875;0,000;0,000;2,857;3,530;0,87;1,00;2729,00;0,87;1,00;;0,90;1,00;;0,28;0,72;0,00;0,29;0,71;0,00;0,29;0,71;0,00;0,887;15,196;0,728;0,24;French;1;0;6,35;3;0,45;61,4;30;41;67,9;71;74,2;86,2;76,8;87,4;30;50;;1990;18;3;0,27;0,27
Agricultural Bank of Namibia - Agribank/2009;Namibia/2009;26;Namibia;Agricultural Bank of Namibia - Agribank;NamibiaAgricultural Bank of Namibia - Agribank2009;0;1;150;0;CB;0;2009;0,309;0,309;0,451;28,972;120,408;0,754;6,184;157,948;;2,301;131,277;0,000;11,577;;;1,829;0,519;5,452;3,623;0,028;0,039;159,789;5,074;1354,00;149,734;36,914;4,520;5,452;0,519;18,457;8,47;1,00;-0,004;3983,24;8,290;-0,023;0,455;0,088;0,042;0,081;0,041;2,563;4,444;9,238;3,333;2,500;8,438;0,000;0,000;3,750;3,807;2,708;4,643;9,405;1,667;3,611;6,875;0,000;0,000;2,857;3,530;0,87;1,00;2729,00;0,87;1,00;;0,90;1,00;;0,28;0,72;0,00;0,30;0,70;0,00;0,29;0,71;0,00;0,887;16,828;0,728;0,24;French;1;0;6,41;3;0,45;62,4;30;45;67,2;69,7;74,4;85;74,6;88,4;40;50;0,015;1990;19;3;0,27;0,27
Agricultural Bank of Namibia - Agribank/2010;Namibia/2010;26;Namibia;Agricultural Bank of Namibia - Agribank;NamibiaAgricultural Bank of Namibia - Agribank2010;0;1;150;0;CB;0;2010;1,000;1,000;0,574;2,937;137,805;0,725;7,171;193,588;;4,876;166,052;0,000;15,298;;;4,644;0,942;9,315;4,671;0,011;0,015;190,023;5,247;1391,20;179,383;26,143;2,267;9,315;0,942;13,331;7,32;1,00;0,066;4875,97;8,492;0,047;0,437;0,045;0,010;0,095;0,025;2,563;4,444;9,238;3,333;2,500;8,438;0,000;0,000;3,750;3,807;2,708;4,643;9,405;1,667;3,611;6,875;0,000;0,000;2,857;3,530;0,87;1,00;2730,00;0,87;1,00;;0,88;1,00;;0,28;0,72;0,00;0,30;0,70;0,00;0,29;0,71;0,00;0,905;15,854;0,728;0,24;French;1;0;6,38;3;0,45;62,2;30;45;68,3;69,5;73,3;87,2;71;87,8;50;40;0,025;1990;20;3;0,24;0,27
Bank Windhoek Limited/2005;Namibia/2005;26;Namibia;Bank Windhoek Limited;NamibiaBank Windhoek Limited2005;0;0;151;0;CB;0;2005;0,675;0,518;0,580;809,567;71,328;0,076;12,800;794,518;0,020;0,912;794,518;22,612;40,775;;828;21,433;29,720;40,853;19,420;0,019;0,246;938,590;6,844;6304,40;878,568;826,314;48,213;40,853;29,626;84,050;6,36;1,00;0,025;3491,27;8,158;0,007;0,474;0,023;0,055;0,060;0,015;2,563;4,444;9,238;3,333;2,500;8,438;0,000;0,000;3,750;3,807;2,708;4,643;9,405;1,667;3,611;6,875;0,000;0,000;2,857;3,530;0,87;1,00;2730,00;0,87;1,00;;0,88;1,00;;0,24;0,76;0,00;0,26;0,74;0,00;0,24;0,76;0,00;0,905;74,370;0,728;0,24;French;1;0;6,46;3;0,45;61,4;30;47;67,8;63,3;70;86,6;71,7;77,8;50;50;0,001;1990;15;3;0,27;0,27
Bank Windhoek Limited/2006;Namibia/2006;26;Namibia;Bank Windhoek Limited;NamibiaBank Windhoek Limited2006;0;0;151;0;CB;0;2006;0,755;0,617;0,548;944,023;79,258;0,072;12,730;963,620;0,017;6,601;963,620;23,997;46,489;;904;23,082;32,075;43,077;19,995;0,019;0,261;1100,605;7,004;7917,30;1050,011;973,278;54,862;43,077;32,016;86,391;6,77;1,00;0,071;3766,78;8,234;0,051;0,476;0,051;0,093;0,058;0,041;2,563;4,444;9,238;3,333;2,500;8,438;0,000;0,000;3,750;3,807;2,708;4,643;9,405;1,667;3,611;6,875;0,000;0,000;2,857;3,530;0,87;1,00;2730,00;0,87;1,00;;0,88;1,00;;0,24;0,76;0,00;0,27;0,73;0,00;0,26;0,74;0,00;0,905;71,653;0,728;0,24;French;1;0;6,36;3;0,45;60,7;30;41;62,4;59,4;74,4;86,5;75,1;77,8;50;50;0,007;1990;16;3;0,27;0,27
Bank Windhoek Limited/2007;Namibia/2007;26;Namibia;Bank Windhoek Limited;NamibiaBank Windhoek Limited2007;0;0;151;0;CB;0;2007;0,661;0,576;0,550;1067,610;87,206;0,070;14,875;1055,517;0,010;3,847;1038,484;24,938;53,297;;;24,612;33,440;47,691;23,079;0,020;0,284;1240,844;7,124;10249,90;1183,374;1095,713;76,376;47,691;33,270;144,890;7,05;1,00;0,054;4078,68;8,314;0,034;0,472;0,067;0,090;0,069;0,042;2,563;4,444;9,238;3,333;2,500;8,438;0,000;0,000;3,750;3,807;2,708;4,643;9,405;1,667;3,611;6,875;0,000;0,000;2,857;3,530;0,87;1,00;2730,00;0,87;1,00;;0,88;1,00;;0,26;0,74;0,00;0,29;0,71;0,00;0,28;0,72;0,00;0,905;71,025;0,728;0,24;French;1;0;6,57;3;0,45;63,5;30;43;67,8;64,9;75,7;86,1;78,7;89;40;60;0,004;1990;17;3;0,27;0,27
Bank Windhoek Limited/2008;Namibia/2008;26;Namibia;Bank Windhoek Limited;NamibiaBank Windhoek Limited2008;0;0;151;0;CB;0;2008;0,576;0,525;0,567;1082,067;110,553;0,088;15,506;1028,153;0,009;2,845;1013,724;23,108;56,009;;;27,780;34,716;51,433;23,653;0,022;0,273;1259,729;7,139;11738,30;1196,518;1106,011;92,044;51,433;34,607;182,794;8,26;1,00;0,034;4017,32;8,298;0,014;0,441;0,104;0,137;0,070;0,038;2,563;4,444;9,238;3,333;2,500;8,438;0,000;0,000;3,750;3,807;2,708;4,643;9,405;1,667;3,611;6,875;0,000;0,000;2,857;3,530;0,87;1,00;2730,00;0,87;1,00;;0,88;1,00;;0,28;0,72;0,00;0,29;0,71;0,00;0,29;0,71;0,00;0,905;86,062;0,728;0,24;French;1;0;6,35;3;0,45;61,4;30;41;67,9;71;74,2;86,2;76,8;87,4;30;50;0,003;1990;18;3;0,27;0,27
Bank Windhoek Limited/2009;Namibia/2009;26;Namibia;Bank Windhoek Limited;NamibiaBank Windhoek Limited2009;0;0;151;0;CB;0;2009;0,603;0,551;0,590;1258,439;124,185;0,086;15,920;1159,438;0,008;2,348;1146,067;25,951;58,806;;;27,355;33,811;54,616;27,261;0,018;0,213;1444,887;7,276;13992,00;1364,744;1281,876;106,129;54,616;33,752;218,677;8,47;1,00;-0,004;3983,24;8,290;-0,023;0,455;0,088;0,042;0,081;0,041;2,563;4,444;9,238;3,333;2,500;8,438;0,000;0,000;3,750;3,807;2,708;4,643;9,405;1,667;3,611;6,875;0,000;0,000;2,857;3,530;0,86;1,00;;0,86;1,00;;0,86;1,00;;0,28;0,72;0,00;0,30;0,70;0,00;0,29;0,71;0,00;0,921;81,940;0,728;0,24;French;1;0;6,41;3;0,45;62,4;30;45;67,2;69,7;74,4;85;74,6;88,4;40;50;0,002;1990;19;3;0,27;0,27
Bank Windhoek Limited/2010;Namibia/2010;26;Namibia;Bank Windhoek Limited;NamibiaBank Windhoek Limited2010;0;0;151;0;CB;0;2010;0,775;0,669;0,592;1692,436;170,627;0,088;17,743;1563,004;0,015;3,114;1548,881;35,991;77,555;;;33,546;44,788;72,420;38,873;0,019;0,215;1937,054;7,569;16119,10;1792,146;1721,325;100,065;72,420;44,091;243,265;7,32;1,00;0,066;4875,97;8,492;0,047;0,437;0,045;0,010;0,095;0,025;2,563;4,444;9,238;3,333;2,500;8,438;0,000;0,000;3,750;3,807;2,708;4,643;9,405;1,667;3,611;6,875;0,000;0,000;2,857;3,530;0,86;1,00;;0,86;1,00;;0,86;1,00;;0,28;0,72;0,00;0,30;0,70;0,00;0,29;0,71;0,00;0,921;83,879;0,728;0,24;French;1;0;6,38;3;0,45;62,2;30;45;68,3;69,5;73,3;87,2;71;87,8;50;40;0,002;1990;20;3;0,24;0,27
First National Bank of Namibia Limited/2005;Namibia/2005;26;Namibia;First National Bank of Namibia Limited;NamibiaFirst National Bank of Namibia Limited2005;1;0;152;0;CB;0;2005;0,662;0,563;0,584;1054,577;215,589;0,166;20,317;1076,843;;3,585;1057,690;31,733;65,762;;1343;29,862;38,636;60,981;31,120;0,021;0,125;1300,279;7,170;9596,30;1164,809;1055,300;61,642;60,981;38,636;107,118;6,36;1,00;0,025;3491,27;8,158;0,007;0,474;0,023;0,055;0,060;0,015;2,563;4,444;9,238;3,333;2,500;8,438;0,000;0,000;3,750;3,807;2,708;4,643;9,405;1,667;3,611;6,875;0,000;0,000;2,857;3,530;0,86;1,00;;0,86;1,00;;0,86;1,00;;0,24;0,76;0,00;0,26;0,74;0,00;0,24;0,76;0,00;0,921;80,874;0,728;0,24;French;1;0;6,46;3;0,45;61,4;30;47;67,8;63,3;70;86,6;71,7;77,8;50;50;0,003;1990;15;3;0,27;0,27
First National Bank of Namibia Limited/2006;Namibia/2006;26;Namibia;First National Bank of Namibia Limited;NamibiaFirst National Bank of Namibia Limited2006;1;0;152;0;CB;0;2006;0,720;0,620;0,569;1171,977;225,089;0,158;20,217;1216,354;;4,327;1191,692;34,674;70,885;;1374;31,662;42,324;64,446;32,784;0,022;0,137;1424,253;7,261;11055,50;1311,029;1177,928;65,111;64,446;42,324;119,338;6,77;1,00;0,071;3766,78;8,234;0,051;0,476;0,051;0,093;0,058;0,041;2,563;4,444;9,238;3,333;2,500;8,438;0,000;0,000;3,750;3,807;2,708;4,643;9,405;1,667;3,611;6,875;0,000;0,000;2,857;3,530;0,86;1,00;;0,86;1,00;;0,86;1,00;;0,24;0,76;0,00;0,27;0,73;0,00;0,26;0,74;0,00;0,921;78,118;0,728;0,24;French;1;0;6,36;3;0,45;60,7;30;41;62,4;59,4;74,4;86,5;75,1;77,8;50;50;0,004;1990;16;3;0,27;0,27
First National Bank of Namibia Limited/2007;Namibia/2007;26;Namibia;First National Bank of Namibia Limited;NamibiaFirst National Bank of Namibia Limited2007;1;0;152;0;CB;0;2007;0,685;0,595;0,534;1246,692;185,285;0,122;20,127;1273,177;0,027;9,623;1244,449;38,508;85,744;;1404;35,484;44,866;69,734;34,249;0,023;0,169;1518,403;7,325;11148,90;1411,765;1287,059;85,219;69,734;44,866;167,316;7,05;1,00;0,054;4078,68;8,314;0,034;0,472;0,067;0,090;0,069;0,042;2,563;4,444;9,238;3,333;2,500;8,438;0,000;0,000;3,750;3,807;2,708;4,643;9,405;1,667;3,611;6,875;0,000;0,000;2,857;3,530;0,86;1,00;;0,86;1,00;;0,86;1,00;;0,26;0,74;0,00;0,29;0,71;0,00;0,28;0,72;0,00;0,921;63,059;0,728;0,24;French;1;0;6,57;3;0,45;63,5;30;43;67,8;64,9;75,7;86,1;78,7;89;40;60;0,008;1990;17;3;0,27;0,27
First National Bank of Namibia Limited/2008;Namibia/2008;26;Namibia;First National Bank of Namibia Limited;NamibiaFirst National Bank of Namibia Limited2008;1;0;152;0;CB;0;2008;0,617;0,511;0,513;1214,082;173,715;0,119;19,888;1141,828;0,030;8,764;1112,160;37,827;82,833;;1525;32,743;48,080;67,181;34,438;0,026;0,214;1457,314;7,284;13735,50;1353,226;1250,081;93,751;67,181;47,487;241,066;8,26;1,00;0,034;4017,32;8,298;0,014;0,441;0,104;0,137;0,070;0,038;2,563;4,444;9,238;3,333;2,500;8,438;0,000;0,000;3,750;3,807;2,708;4,643;9,405;1,667;3,611;6,875;0,000;0,000;2,857;3,530;0,87;1,00;;0,87;1,00;;0,88;1,00;;0,28;0,72;0,00;0,29;0,71;0,00;0,29;0,71;0,00;0,819;62,873;0,728;0,24;French;1;0;6,35;3;0,45;61,4;30;41;67,9;71;74,2;86,2;76,8;87,4;30;50;0,008;1990;18;3;0,27;0,27
First National Bank of Namibia Limited/2009;Namibia/2009;26;Namibia;First National Bank of Namibia Limited;NamibiaFirst National Bank of Namibia Limited2009;1;0;152;0;CB;0;2009;0,639;0,546;0,540;1253,577;193,989;0,127;24,960;1277,875;0,029;4,532;1247,983;46,049;82,031;;1580;37,493;54,923;73,935;36,442;0,025;0,206;1533,255;7,335;15358,10;1429,817;1298,044;98,977;73,935;54,864;181,834;8,47;1,00;-0,004;3983,24;8,290;-0,023;0,455;0,088;0,042;0,081;0,041;2,563;4,444;9,238;3,333;2,500;8,438;0,000;0,000;3,750;3,807;2,708;4,643;9,405;1,667;3,611;6,875;0,000;0,000;2,857;3,530;0,87;1,00;;0,87;1,00;;0,88;1,00;;0,28;0,72;0,00;0,30;0,70;0,00;0,29;0,71;0,00;0,819;65,816;0,728;0,24;French;1;0;6,41;3;0,45;62,4;30;45;67,2;69,7;74,4;85;74,6;88,4;40;50;0,004;1990;19;3;0,27;0,27
First National Bank of Namibia Limited/2010;Namibia/2010;26;Namibia;First National Bank of Namibia Limited;NamibiaFirst National Bank of Namibia Limited2010;1;0;152;0;CB;0;2010;0,727;0,592;0,553;1655,639;261,691;0,131;32,713;1578,753;0,024;1,776;1545,056;63,828;103,808;;1689;54,048;75,329;99,095;45,047;0,027;0,208;2004,679;7,603;15676,60;1873,499;1699,552;86,079;99,095;75,302;328,442;7,32;1,00;0,066;4875,97;8,492;0,047;0,437;0,045;0,010;0,095;0,025;2,563;4,444;9,238;3,333;2,500;8,438;0,000;0,000;3,750;3,807;2,708;4,643;9,405;1,667;3,611;6,875;0,000;0,000;2,857;3,530;0,87;1,00;;0,87;1,00;;0,88;1,00;;0,28;0,72;0,00;0,30;0,70;0,00;0,29;0,71;0,00;0,819;68,165;0,728;0,24;French;1;0;6,38;3;0,45;62,2;30;45;68,3;69,5;73,3;87,2;71;87,8;50;40;0,001;1990;20;3;0,24;0,27
FNB Namibia Holdings Limited/2005;Namibia/2005;26;Namibia;FNB Namibia Holdings Limited;NamibiaFNB Namibia Holdings Limited2005;1;0;153;1;CB;0;2005;0,615;0,543;0,538;1054,561;184,815;0,143;23,870;1074,217;0,010;3,585;1055,064;30,019;66,485;;1406;28,163;46,231;60,635;32,472;0,026;0,184;1294,728;7,166;9561,00;1196,997;1055,284;61,657;60,635;46,231;141,933;6,36;1,00;0,025;3491,27;8,158;0,007;0,474;0,023;0,055;0,060;0,015;2,563;4,444;9,238;3,333;2,500;8,438;0,000;0,000;3,750;3,807;2,708;4,643;9,405;1,667;3,611;6,875;0,000;0,000;2,857;3,530;0,87;1,00;;0,87;1,00;;0,88;1,00;;0,24;0,76;0,00;0,26;0,74;0,00;0,24;0,76;0,00;0,819;59,212;0,728;0,24;French;1;0;6,46;3;0,45;61,4;30;47;67,8;63,3;70;86,6;71,7;77,8;50;50;0,003;1990;15;3;0,27;0,27
FNB Namibia Holdings Limited/2006;Namibia/2006;26;Namibia;FNB Namibia Holdings Limited;NamibiaFNB Namibia Holdings Limited2006;1;0;153;1;CB;0;2006;0,671;0,578;0,531;1171,977;192,349;0,135;23,318;1185,637;0,009;4,327;1160,975;35,767;71,461;;1433;32,607;55,024;67,119;34,512;0,029;0,207;1422,363;7,260;11041,80;1340,048;1177,928;65,229;67,119;55,024;179,073;6,77;1,00;0,071;3766,78;8,234;0,051;0,476;0,051;0,093;0,058;0,041;2,563;4,444;9,238;3,333;2,500;8,438;0,000;0,000;3,750;3,807;2,708;4,643;9,405;1,667;3,611;6,875;0,000;0,000;2,857;3,530;0,87;1,00;;0,87;1,00;;0,88;1,00;;0,24;0,76;0,00;0,27;0,73;0,00;0,26;0,74;0,00;0,819;57,477;0,728;0,24;French;1;0;6,36;3;0,45;60,7;30;41;62,4;59,4;74,4;86,5;75,1;77,8;50;50;0,004;1990;16;3;0,27;0,27
FNB Namibia Holdings Limited/2007;Namibia/2007;26;Namibia;FNB Namibia Holdings Limited;NamibiaFNB Namibia Holdings Limited2007;1;0;153;1;CB;0;2007;0,642;0,579;0,492;1227,459;176,059;0,116;23,349;1267,301;0,010;9,609;1238,573;36,080;86,724;;1463;33,157;54,731;69,549;36,393;0,030;0,239;1515,010;7,323;12368,70;1425,661;1232,143;85,248;69,549;54,731;187,088;7,05;1,00;0,054;4078,68;8,314;0,034;0,472;0,067;0,090;0,069;0,042;2,563;4,444;9,238;3,333;2,500;8,438;0,000;0,000;3,750;3,807;2,708;4,643;9,405;1,667;3,611;6,875;0,000;0,000;2,857;3,530;0,87;1,00;;0,87;1,00;;0,87;1,00;;0,26;0,74;0,00;0,29;0,71;0,00;0,28;0,72;0,00;0,942;51,237;0,728;0,24;French;1;0;6,57;3;0,45;63,5;30;43;67,8;64,9;75,7;86,1;78,7;89;40;60;0,008;1990;17;3;0,27;0,27
FNB Namibia Holdings Limited/2008;Namibia/2008;26;Namibia;FNB Namibia Holdings Limited;NamibiaFNB Namibia Holdings Limited2008;1;0;153;1;CB;0;2008;0,572;0,491;0,483;1214,118;197,005;0,121;22,817;1136,224;0,011;8,764;1106,555;36,895;85,556;;1601;36,108;63,877;72,205;36,096;0,034;0,285;1622,217;7,392;15142,60;1534,894;1221,611;93,763;72,205;63,877;428,338;8,26;1,00;0,034;4017,32;8,298;0,014;0,441;0,104;0,137;0,070;0,038;2,563;4,444;9,238;3,333;2,500;8,438;0,000;0,000;3,750;3,807;2,708;4,643;9,405;1,667;3,611;6,875;0,000;0,000;2,857;3,530;0,87;1,00;;0,87;1,00;;0,87;1,00;;0,28;0,72;0,00;0,29;0,71;0,00;0,29;0,71;0,00;0,942;54,469;0,728;0,24;French;1;0;6,35;3;0,45;61,4;30;41;67,9;71;74,2;86,2;76,8;87,4;30;50;0,008;1990;18;3;0,27;0,27
FNB Namibia Holdings Limited/2009;Namibia/2009;26;Namibia;FNB Namibia Holdings Limited;NamibiaFNB Namibia Holdings Limited2009;1;0;153;1;CB;0;2009;0,599;0,522;0,526;1253,695;207,974;0,125;27,898;1267,420;0,009;4,532;1237,527;45,388;89,701;;1664;40,821;61,461;79,458;38,637;0,027;0,216;1663,977;7,417;16495,90;1570,511;1267,337;98,965;79,458;61,461;332,984;8,47;1,00;-0,004;3983,24;8,290;-0,023;0,455;0,088;0,042;0,081;0,041;2,563;4,444;9,238;3,333;2,500;8,438;0,000;0,000;3,750;3,807;2,708;4,643;9,405;1,667;3,611;6,875;0,000;0,000;2,857;3,530;0,87;1,00;;0,87;1,00;;0,87;1,00;;0,28;0,72;0,00;0,30;0,70;0,00;0,29;0,71;0,00;0,942;53,165;0,728;0,24;French;1;0;6,41;3;0,45;62,4;30;45;67,2;69,7;74,4;85;74,6;88,4;40;50;0,004;1990;19;3;0,27;0,27
FNB Namibia Holdings Limited/2010;Namibia/2010;26;Namibia;FNB Namibia Holdings Limited;NamibiaFNB Namibia Holdings Limited2010;1;0;153;1;CB;0;2010;0,679;0,569;0,531;1652,757;293,817;0,135;36,469;1567,143;0,009;1,776;1533,446;63,022;110,391;;1791;58,624;89,302;106,103;47,478;0,031;0,235;2176,836;7,686;18275,90;2049,945;1660,679;86,038;106,103;87,882;516,498;7,32;1,00;0,066;4875,97;8,492;0,047;0,437;0,045;0,010;0,095;0,025;2,563;4,444;9,238;3,333;2,500;8,438;0,000;0,000;3,750;3,807;2,708;4,643;9,405;1,667;3,611;6,875;0,000;0,000;2,857;3,530;0,87;1,00;;0,87;1,00;;0,87;1,00;;0,28;0,72;0,00;0,30;0,70;0,00;0,29;0,71;0,00;0,942;58,034;0,728;0,24;French;1;0;6,38;3;0,45;62,2;30;45;68,3;69,5;73,3;87,2;71;87,8;50;40;0,001;1990;20;3;0,24;0,27
Nedbank Namibia Ltd/2005;Namibia/2005;26;Namibia;Nedbank Namibia Ltd;NamibiaNedbank Namibia Ltd2005;1;0;154;0;CB;0;2005;0,572;0,488;0,560;518,215;39,784;0,070;5,975;487,268;0,025;-1,148;476,780;6,825;30,679;;;11,778;10,426;23,037;11,259;0,024;0,340;571,931;6,349;3846,50;539,176;518,404;23,635;23,037;10,426;62,397;6,36;1,00;0,025;3491,27;8,158;0,007;0,474;0,023;0,055;0,060;0,015;2,563;4,444;9,238;3,333;2,500;8,438;0,000;0,000;3,750;3,807;2,708;4,643;9,405;1,667;3,611;6,875;0,000;0,000;2,857;3,530;0,87;1,00;;0,87;1,00;;0,87;1,00;;0,24;0,76;0,00;0,26;0,74;0,00;0,24;0,76;0,00;0,942;19,928;0,728;0,24;French;1;0;6,46;3;0,45;61,4;30;47;67,8;63,3;70;86,6;71,7;77,8;50;50;-0,002;1990;15;3;0,27;0,27
Nedbank Namibia Ltd/2006;Namibia/2006;26;Namibia;Nedbank Namibia Ltd;NamibiaNedbank Namibia Ltd2006;1;0;154;0;CB;0;2006;0,449;0,381;0,737;553,167;45,100;0,072;7,266;495,219;0,034;4,253;482,268;7,413;36,624;;;22,270;11,415;35,428;13,158;0,009;0,128;625,972;6,439;4878,60;599,375;553,463;30,067;35,428;11,415;117,108;6,77;1,00;0,071;3766,78;8,234;0,051;0,476;0,051;0,093;0,058;0,041;2,563;4,444;9,238;3,333;2,500;8,438;0,000;0,000;3,750;3,807;2,708;4,643;9,405;1,667;3,611;6,875;0,000;0,000;2,857;3,530;0,87;1,00;;0,87;1,00;;0,87;1,00;;0,24;0,76;0,00;0,27;0,73;0,00;0,26;0,74;0,00;0,973;17,325;0,728;0,24;French;1;0;6,36;3;0,45;60,7;30;41;62,4;59,4;74,4;86,5;75,1;77,8;50;50;0,009;1990;16;3;0,27;0,27
Nedbank Namibia Ltd/2007;Namibia/2007;26;Namibia;Nedbank Namibia Ltd;NamibiaNedbank Namibia Ltd2007;1;0;154;0;CB;0;2007;0,409;0,349;0,648;629,634;56,903;0,079;12,249;549,851;0,025;1,703;539,986;8,871;39,118;;;17,160;12,476;33,412;16,252;0,018;0,232;719,707;6,579;5787,20;682,151;629,974;41,304;33,412;12,476;142,164;7,05;1,00;0,054;4078,68;8,314;0,034;0,472;0,067;0,090;0,069;0,042;2,563;4,444;9,238;3,333;2,500;8,438;0,000;0,000;3,750;3,807;2,708;4,643;9,405;1,667;3,611;6,875;0,000;0,000;2,857;3,530;0,87;1,00;;0,87;1,00;;0,87;1,00;;0,26;0,74;0,00;0,29;0,71;0,00;0,28;0,72;0,00;0,973;20,665;0,728;0,24;French;1;0;6,57;3;0,45;63,5;30;43;67,8;64,9;75,7;86,1;78,7;89;40;60;0,003;1990;17;3;0,27;0,27
Nedbank Namibia Ltd/2008;Namibia/2008;26;Namibia;Nedbank Namibia Ltd;NamibiaNedbank Namibia Ltd2008;1;0;154;0;CB;0;2008;0,378;0,332;0,652;573,486;58,151;0,087;10,628;507,007;0,026;2,518;499,236;8,594;36,762;;;16,499;13,993;33,106;16,608;0,017;0,200;669,998;6,507;6492,70;598,568;574,370;45,574;33,106;13,993;99,332;8,26;1,00;0,034;4017,32;8,298;0,014;0,441;0,104;0,137;0,070;0,038;2,563;4,444;9,238;3,333;2,500;8,438;0,000;0,000;3,750;3,807;2,708;4,643;9,405;1,667;3,611;6,875;0,000;0,000;2,857;3,530;0,87;1,00;;0,87;1,00;;0,87;1,00;;0,28;0,72;0,00;0,29;0,71;0,00;0,29;0,71;0,00;0,973;22,099;0,728;0,24;French;1;0;6,35;3;0,45;61,4;30;41;67,9;71;74,2;86,2;76,8;87,4;30;50;0,005;1990;18;3;0,27;0,27
Nedbank Namibia Ltd/2009;Namibia/2009;26;Namibia;Nedbank Namibia Ltd;NamibiaNedbank Namibia Ltd2009;1;0;154;0;CB;0;2009;0,513;0,415;0,631;651,488;68,908;0,093;9,535;572,927;0,022;2,360;563,994;11,046;37,233;;;16,958;16,203;33,693;16,734;0,017;0,191;743,066;6,611;6622,70;696,451;652,173;35,876;33,693;16,203;132,457;8,47;1,00;-0,004;3983,24;8,290;-0,023;0,455;0,088;0,042;0,081;0,041;2,563;4,444;9,238;3,333;2,500;8,438;0,000;0,000;3,750;3,807;2,708;4,643;9,405;1,667;3,611;6,875;0,000;0,000;2,857;3,530;0,87;1,00;;0,87;1,00;;0,87;1,00;;0,28;0,72;0,00;0,30;0,70;0,00;0,29;0,71;0,00;0,973;23,473;0,728;0,24;French;1;0;6,41;3;0,45;62,4;30;45;67,2;69,7;74,4;85;74,6;88,4;40;50;0,004;1990;19;3;0,27;0,27
